SR NO,INDEX,Company Name,Symbol,INDUSTRY,ISIN Code
52,NIFTY NXT 50,Adani Energy Solutions Ltd.,ADANIENSOL,Power Generation/Distribution,INE931S01010
53,NIFTY NXT 50,Adani Green Energy Ltd.,ADANIGREEN,Power Generation/Distribution,INE364U01010
54,NIFTY NXT 50,Adani Power Ltd.,ADANIPOWER,Power Generation/Distribution,INE814H01029
55,NIFTY NXT 50,Ambuja Cements Ltd.,AMBUJACEM,Cement & Construction Materials,INE079A01024
56,NIFTY NXT 50,Avenue Supermarts Ltd.,DMART,Retailing,INE192R01011
57,NIFTY NXT 50,Bajaj Holdings & Investment Ltd.,BAJAJHLDNG,Finance - NBFC,INE118A01012
58,NIFTY NXT 50,Bank of Baroda,BANKBARODA,NIFTY PRIVATE BANK,INE028A01039
59,NIFTY NXT 50,Bharat Petroleum Corporation Ltd.,BPCL,Refineries,INE029A01011
60,NIFTY NXT 50,Bosch Ltd.,BOSCHLTD,Auto Ancillary,INE323A01026
61,NIFTY NXT 50,Britannia Industries Ltd.,BRITANNIA,Consumer Food,INE216A01030
62,NIFTY NXT 50,CG Power and Industrial Solutions Ltd.,CGPOWER,Electric Equipment,INE067A01029
63,NIFTY NXT 50,Canara Bank,CANBK,NIFTY PRIVATE BANK,INE476A01022
64,NIFTY NXT 50,Cholamandalam Investment and Finance Company Ltd.,CHOLAFIN,Finance - NBFC,INE121A01024
65,NIFTY NXT 50,Cummins India Ltd.,CUMMINSIND,Diesel Engines,INE298A01020
66,NIFTY NXT 50,DLF Ltd.,DLF,Construction - Real Estate,INE271C01023
67,NIFTY NXT 50,Divi's Laboratories Ltd.,DIVISLAB,Pharmaceuticals & Drugs,INE361B01024
68,NIFTY NXT 50,GAIL (India) Ltd.,GAIL,Industrial  Gases & Fuels,INE129A01019
69,NIFTY NXT 50,Godrej Consumer Products Ltd.,GODREJCP,Household & Personal Products,INE102D01028
70,NIFTY NXT 50,HDFC Asset Management Company Ltd.,HDFCAMC,Finance - Asset Management,INE127D01025
71,NIFTY NXT 50,Hindustan Aeronautics Ltd.,HAL,Defence,INE066F01020
72,NIFTY NXT 50,Hindustan Zinc Ltd.,HINDZINC,Metal - Non Ferrous,INE267A01025
73,NIFTY NXT 50,Hyundai Motor India Ltd.,HYUNDAI,Automobiles - Passenger Cars,INE0V6F01027
74,NIFTY NXT 50,Indian Hotels Co. Ltd.,INDHOTEL,"Hotel, Resort & Restaurants",INE053A01029
75,NIFTY NXT 50,Indian Oil Corporation Ltd.,IOC,Refineries,INE242A01010
76,NIFTY NXT 50,Indian Railway Finance Corporation Ltd.,IRFC,Finance Term Lending,INE053F01010
77,NIFTY NXT 50,Jindal Steel Ltd.,JINDALSTEL,Steel/Sponge Iron/Pig Iron,INE749A01030
78,NIFTY NXT 50,LTIMindtree Ltd.,LTM,IT - Software,INE214T01019
79,NIFTY NXT 50,Lodha Developers Ltd.,LODHA,Construction - Real Estate,INE670K01029
80,NIFTY NXT 50,Mazagoan Dock Shipbuilders Ltd.,MAZDOCK,Ship Building,INE249Z01020
81,NIFTY NXT 50,Muthoot Finance Ltd.,MUTHOOTFIN,Finance - NBFC,INE414G01012
82,NIFTY NXT 50,Pidilite Industries Ltd.,PIDILITIND,Chemicals,INE318A01026
83,NIFTY NXT 50,Power Finance Corporation Ltd.,PFC,Finance Term Lending,INE134E01011
84,NIFTY NXT 50,Punjab National Bank,PNB,NIFTY PRIVATE BANK,INE160A01022
85,NIFTY NXT 50,REC Ltd.,RECLTD,Finance Term Lending,INE020B01018
86,NIFTY NXT 50,Samvardhana Motherson International Ltd.,MOTHERSON,Auto Ancillary,INE775A01035
87,NIFTY NXT 50,Shree Cement Ltd.,SHREECEM,Cement & Construction Materials,INE070A01015
88,NIFTY NXT 50,Siemens Energy India Ltd.,ENRIN,Electric Equipment,INE1NPP01017
89,NIFTY NXT 50,Siemens Ltd.,SIEMENS,Electric Equipment,INE003A01024
90,NIFTY NXT 50,Solar Industries India Ltd.,SOLARINDS,Chemicals,INE343H01029
91,NIFTY NXT 50,TVS Motor Company Ltd.,TVSMOTOR,Automobile Two & Three Wheelers,INE494B01023
92,NIFTY NXT 50,Tata Capital Ltd.,TATACAP,Finance - NBFC,INE976I01016
93,NIFTY NXT 50,Tata Motors Ltd.,TMCV,Automobiles-Trucks/Lcv,INE1TAE01010
94,NIFTY NXT 50,Tata Power Co. Ltd.,TATAPOWER,Power Generation/Distribution,INE245A01021
95,NIFTY NXT 50,Torrent Pharmaceuticals Ltd.,TORNTPHARM,Pharmaceuticals & Drugs,INE685A01028
96,NIFTY NXT 50,Union Bank of India,UNIONBANK,NIFTY PRIVATE BANK,INE692A01016
97,NIFTY NXT 50,United Spirits Ltd.,UNITDSPR,Breweries & Distilleries,INE854D01024
98,NIFTY NXT 50,Varun Beverages Ltd.,VBL,Consumer Food,INE200M01039
99,NIFTY NXT 50,Vedanta Ltd.,VEDL,Metal - Non Ferrous,INE205A01025
100,NIFTY NXT 50,Zydus Lifesciences Ltd.,ZYDUSLIFE,Pharmaceuticals & Drugs,INE010B01027
101,NIFTY 100,ABB India Ltd.,ABB,Electric Equipment,INE117A01022
102,NIFTY 100,Adani Energy Solutions Ltd.,ADANIENSOL,Power Generation/Distribution,INE931S01010
103,NIFTY 100,Adani Enterprises Ltd.,ADANIENT,Trading,INE423A01024
104,NIFTY 100,Adani Green Energy Ltd.,ADANIGREEN,Power Generation/Distribution,INE364U01010
105,NIFTY 100,Adani Ports and Special Economic Zone Ltd.,ADANIPORTS,Port,INE742F01042
106,NIFTY 100,Adani Power Ltd.,ADANIPOWER,Power Generation/Distribution,INE814H01029
107,NIFTY 100,Ambuja Cements Ltd.,AMBUJACEM,Cement & Construction Materials,INE079A01024
108,NIFTY 100,Apollo Hospitals Enterprise Ltd.,APOLLOHOSP,Hospital & Healthcare Services,INE437A01024
109,NIFTY 100,Asian Paints Ltd.,ASIANPAINT,Paints,INE021A01026
110,NIFTY 100,Avenue Supermarts Ltd.,DMART,Retailing,INE192R01011
111,NIFTY 100,Axis Bank Ltd.,AXISBANK,NIFTY PRIVATE BANK,INE238A01034
112,NIFTY 100,Bajaj Auto Ltd.,BAJAJ-AUTO,Automobile Two & Three Wheelers,INE917I01010
113,NIFTY 100,Bajaj Finance Ltd.,BAJFINANCE,Finance - NBFC,INE296A01032
114,NIFTY 100,Bajaj Finserv Ltd.,BAJAJFINSV,Finance - Investment,INE918I01026
115,NIFTY 100,Bajaj Holdings & Investment Ltd.,BAJAJHLDNG,Finance - NBFC,INE118A01012
116,NIFTY 100,Bank of Baroda,BANKBARODA,NIFTY PRIVATE BANK,INE028A01039
117,NIFTY 100,Bharat Electronics Ltd.,BEL,Defence,INE263A01024
118,NIFTY 100,Bharat Petroleum Corporation Ltd.,BPCL,Refineries,INE029A01011
119,NIFTY 100,Bharti Airtel Ltd.,BHARTIARTL,Telecommunication - Service  Provider,INE397D01024
120,NIFTY 100,Bosch Ltd.,BOSCHLTD,Auto Ancillary,INE323A01026
121,NIFTY 100,Britannia Industries Ltd.,BRITANNIA,Consumer Food,INE216A01030
122,NIFTY 100,CG Power and Industrial Solutions Ltd.,CGPOWER,Electric Equipment,INE067A01029
123,NIFTY 100,Canara Bank,CANBK,NIFTY PRIVATE BANK,INE476A01022
124,NIFTY 100,Cholamandalam Investment and Finance Company Ltd.,CHOLAFIN,Finance - NBFC,INE121A01024
125,NIFTY 100,Cipla Ltd.,CIPLA,Pharmaceuticals & Drugs,INE059A01026
126,NIFTY 100,Coal India Ltd.,COALINDIA,Mining & Minerals,INE522F01014
127,NIFTY 100,Cummins India Ltd.,CUMMINSIND,Diesel Engines,INE298A01020
128,NIFTY 100,DLF Ltd.,DLF,Construction - Real Estate,INE271C01023
129,NIFTY 100,Divi's Laboratories Ltd.,DIVISLAB,Pharmaceuticals & Drugs,INE361B01024
130,NIFTY 100,Dr. Reddy's Laboratories Ltd.,DRREDDY,Pharmaceuticals & Drugs,INE089A01031
131,NIFTY 100,Eicher Motors Ltd.,EICHERMOT,Automobile Two & Three Wheelers,INE066A01021
132,NIFTY 100,Eternal Ltd.,ETERNAL,e-Commerce,INE758T01015
133,NIFTY 100,GAIL (India) Ltd.,GAIL,Industrial  Gases & Fuels,INE129A01019
134,NIFTY 100,Godrej Consumer Products Ltd.,GODREJCP,Household & Personal Products,INE102D01028
135,NIFTY 100,Grasim Industries Ltd.,GRASIM,Cement & Construction Materials,INE047A01021
136,NIFTY 100,HCL Technologies Ltd.,HCLTECH,IT - Software,INE860A01027
137,NIFTY 100,HDFC Asset Management Company Ltd.,HDFCAMC,Finance - Asset Management,INE127D01025
138,NIFTY 100,HDFC Bank Ltd.,HDFCBANK,NIFTY PRIVATE BANK,INE040A01034
139,NIFTY 100,HDFC Life Insurance Company Ltd.,HDFCLIFE,Insurance,INE795G01014
140,NIFTY 100,Hindalco Industries Ltd.,HINDALCO,Metal - Non Ferrous,INE038A01020
141,NIFTY 100,Hindustan Aeronautics Ltd.,HAL,Defence,INE066F01020
