SR NO,Company Name,Symbol,SECTOR,INDUSTRY,ISIN Code
1,Bajaj Auto Ltd.,BAJAJ-AUTO,NIFTY AUTO,Automobile Two & Three Wheelers,INE917I01010
2,Eicher Motors Ltd.,EICHERMOT,NIFTY AUTO,Automobile Two & Three Wheelers,INE066A01021
2,Mahindra & Mahindra Ltd.,M&M,NIFTY AUTO,Automobiles - Passenger Cars,INE101A01026
3,Maruti Suzuki India Ltd.,MARUTI,NIFTY AUTO,Automobiles - Passenger Cars,INE585B01010
3,Tata Motors Passenger Vehicles Ltd.,TMPV,NIFTY AUTO,Automobile Two & Three Wheelers,INE155A01022
4,Bosch Ltd.,BOSCHLTD,NIFTY AUTO,Auto Ancillary,INE323A01026
4,Hyundai Motor India Ltd.,HYUNDAI,NIFTY AUTO,Automobiles - Passenger Cars,INE0V6F01027
5,Samvardhana Motherson International Ltd.,MOTHERSON,NIFTY AUTO,Auto Ancillary,INE775A01035
5,TVS Motor Company Ltd.,TVSMOTOR,NIFTY AUTO,Automobile Two & Three Wheelers,INE494B01023
6,Bajaj Auto Ltd.,BAJAJ-AUTO,NIFTY AUTO,Automobile Two & Three Wheelers,INE917I01010
6,Bosch Ltd.,BOSCHLTD,NIFTY AUTO,Auto Ancillary,INE323A01026
7,Eicher Motors Ltd.,EICHERMOT,NIFTY AUTO,Automobile Two & Three Wheelers,INE066A01021
7,Hyundai Motor India Ltd.,HYUNDAI,NIFTY AUTO,Automobiles - Passenger Cars,INE0V6F01027
8,Mahindra & Mahindra Ltd.,M&M,NIFTY AUTO,Automobiles - Passenger Cars,INE101A01026
8,Maruti Suzuki India Ltd.,MARUTI,NIFTY AUTO,Automobiles - Passenger Cars,INE585B01010
9,Samvardhana Motherson International Ltd.,MOTHERSON,NIFTY AUTO,Auto Ancillary,INE775A01035
9,TVS Motor Company Ltd.,TVSMOTOR,NIFTY AUTO,Automobile Two & Three Wheelers,INE494B01023
10,Tata Motors Passenger Vehicles Ltd.,TMPV,NIFTY AUTO,Automobile Two & Three Wheelers,INE155A01022
10,Bajaj Auto Ltd.,BAJAJ-AUTO,NIFTY AUTO,Automobile Two & Three Wheelers,INE917I01010
11,Bharat Forge Ltd.,BHARATFORG,NIFTY AUTO,Forgings,INE465A01025
11,Bosch Ltd.,BOSCHLTD,NIFTY AUTO,Auto Ancillary,INE323A01026
12,Eicher Motors Ltd.,EICHERMOT,NIFTY AUTO,Automobile Two & Three Wheelers,INE066A01021
12,Exide Industries Ltd.,EXIDEIND,NIFTY AUTO,Batteries,INE302A01020
13,Hero MotoCorp Ltd.,HEROMOTOCO,NIFTY AUTO,Automobile Two & Three Wheelers,INE158A01026
13,Hyundai Motor India Ltd.,HYUNDAI,NIFTY AUTO,Automobiles - Passenger Cars,INE0V6F01027
14,MRF Ltd.,MRF,NIFTY AUTO,Tyres & Allied,INE883A01011
14,Mahindra & Mahindra Ltd.,M&M,NIFTY AUTO,Automobiles - Passenger Cars,INE101A01026
15,Maruti Suzuki India Ltd.,MARUTI,NIFTY AUTO,Automobiles - Passenger Cars,INE585B01010
15,Samvardhana Motherson International Ltd.,MOTHERSON,NIFTY AUTO,Auto Ancillary,INE775A01035
16,TVS Motor Company Ltd.,TVSMOTOR,NIFTY AUTO,Automobile Two & Three Wheelers,INE494B01023
16,Tata Motors Passenger Vehicles Ltd.,TMPV,NIFTY AUTO,Automobile Two & Three Wheelers,INE155A01022
17,Tube Investments of India Ltd.,TIINDIA,NIFTY AUTO,Auto Ancillary,INE974X01010
17,Amara Raja Energy & Mobility Ltd.,ARE&M,NIFTY AUTO,Batteries,INE885A01032
18,Apollo Tyres Ltd.,APOLLOTYRE,NIFTY AUTO,Tyres & Allied,INE438A01022
18,Asahi India Glass Ltd.,ASAHIINDIA,NIFTY AUTO,Glass,INE439A01020
19,Ather Energy Ltd.,ATHERENERG,NIFTY AUTO,Automobile Two & Three Wheelers,INE0LEZ01016
19,Bajaj Auto Ltd.,BAJAJ-AUTO,NIFTY AUTO,Automobile Two & Three Wheelers,INE917I01010
20,Balkrishna Industries Ltd.,BALKRISIND,NIFTY AUTO,Tyres & Allied,INE787D01026
20,Belrise Industries Ltd.,BELRISE,NIFTY AUTO,Auto Ancillary,INE894V01022
21,Bharat Forge Ltd.,BHARATFORG,NIFTY AUTO,Forgings,INE465A01025
21,Bosch Ltd.,BOSCHLTD,NIFTY AUTO,Auto Ancillary,INE323A01026
22,Ceat Ltd.,CEATLTD,NIFTY AUTO,Tyres & Allied,INE482A01020
22,Craftsman Automation Ltd.,CRAFTSMAN,NIFTY AUTO,Auto Ancillary,INE00LO01017
23,Eicher Motors Ltd.,EICHERMOT,NIFTY AUTO,Automobile Two & Three Wheelers,INE066A01021
23,Endurance Technologies Ltd.,ENDURANCE,NIFTY AUTO,Auto Ancillary,INE913H01037
24,Exide Industries Ltd.,EXIDEIND,NIFTY AUTO,Batteries,INE302A01020
24,Force Motors Ltd.,FORCEMOT,NIFTY AUTO,Automobiles-Trucks/Lcv,INE451A01017
25,Gabriel India Ltd.,GABRIEL,NIFTY AUTO,Auto Ancillary,INE524A01029
25,Hero MotoCorp Ltd.,HEROMOTOCO,NIFTY AUTO,Automobile Two & Three Wheelers,INE158A01026
26,Hyundai Motor India Ltd.,HYUNDAI,NIFTY AUTO,Automobiles - Passenger Cars,INE0V6F01027
26,JBM Auto Ltd.,JBMA,NIFTY AUTO,Auto Ancillary,INE927D01051
27,JK Tyre & Industries Ltd.,JKTYRE,NIFTY AUTO,Tyres & Allied,INE573A01042
27,MRF Ltd.,MRF,NIFTY AUTO,Tyres & Allied,INE883A01011
28,Mahindra & Mahindra Ltd.,M&M,NIFTY AUTO,Automobiles - Passenger Cars,INE101A01026
28,Maruti Suzuki India Ltd.,MARUTI,NIFTY AUTO,Automobiles - Passenger Cars,INE585B01010
29,Minda Corporation Ltd.,MINDACORP,NIFTY AUTO,Auto Ancillary,INE842C01021
29,Motherson Sumi Wiring India Ltd.,MSUMI,NIFTY AUTO,Steel & Iron Products,INE0FS801015
30,Ola Electric Mobility Ltd.,OLAELEC,NIFTY AUTO,Automobile Two & Three Wheelers,INE0LXG01040
30,Olectra Greentech Ltd.,OLECTRA,NIFTY AUTO,Automobiles-Trucks/Lcv,INE260D01016
31,Ramkrishna Forgings Ltd.,RKFORGE,NIFTY AUTO,Forgings,INE399G01023
31,Samvardhana Motherson International Ltd.,MOTHERSON,NIFTY AUTO,Auto Ancillary,INE775A01035
32,Schaeffler India Ltd.,SCHAEFFLER,NIFTY AUTO,Bearings,INE513A01022
32,Sona BLW Precision Forgings Ltd.,SONACOMS,NIFTY AUTO,Auto Ancillary,INE073K01018
33,TVS Motor Company Ltd.,TVSMOTOR,NIFTY AUTO,Automobile Two & Three Wheelers,INE494B01023
33,Tata Motors Passenger Vehicles Ltd.,TMPV,NIFTY AUTO,Automobile Two & Three Wheelers,INE155A01022
34,Tenneco Clean Air India Ltd.,TENNIND,NIFTY AUTO,Auto Ancillary,INE19RI01016
34,Tube Investments of India Ltd.,TIINDIA,NIFTY AUTO,Auto Ancillary,INE974X01010
35,UNO Minda Ltd.,UNOMINDA,NIFTY AUTO,Auto Ancillary,INE405E01023
35,ZF Commercial Vehicle Control Systems India Ltd.,ZFCVINDIA,NIFTY AUTO,Auto Ancillary,INE342J01019
36,Bharat Forge Ltd.,BHARATFORG,NIFTY AUTO,Forgings,INE465A01025
36,Hero MotoCorp Ltd.,HEROMOTOCO,NIFTY AUTO,Automobile Two & Three Wheelers,INE158A01026
37,Tube Investments of India Ltd.,TIINDIA,NIFTY AUTO,Auto Ancillary,INE974X01010
37,Bharat Forge Ltd.,BHARATFORG,NIFTY AUTO,Forgings,INE465A01025
38,Exide Industries Ltd.,EXIDEIND,NIFTY AUTO,Batteries,INE302A01020
38,Hero MotoCorp Ltd.,HEROMOTOCO,NIFTY AUTO,Automobile Two & Three Wheelers,INE158A01026
39,MRF Ltd.,MRF,NIFTY AUTO,Tyres & Allied,INE883A01011
39,Tube Investments of India Ltd.,TIINDIA,NIFTY AUTO,Auto Ancillary,INE974X01010
40,Apollo Tyres Ltd.,APOLLOTYRE,NIFTY AUTO,Tyres & Allied,INE438A01022
40,Balkrishna Industries Ltd.,BALKRISIND,NIFTY AUTO,Tyres & Allied,INE787D01026
41,Bharat Forge Ltd.,BHARATFORG,NIFTY AUTO,Forgings,INE465A01025
41,Endurance Technologies Ltd.,ENDURANCE,NIFTY AUTO,Auto Ancillary,INE913H01037
42,Exide Industries Ltd.,EXIDEIND,NIFTY AUTO,Batteries,INE302A01020
42,Hero MotoCorp Ltd.,HEROMOTOCO,NIFTY AUTO,Automobile Two & Three Wheelers,INE158A01026
43,MRF Ltd.,MRF,NIFTY AUTO,Tyres & Allied,INE883A01011
43,Schaeffler India Ltd.,SCHAEFFLER,NIFTY AUTO,Bearings,INE513A01022
44,Tube Investments of India Ltd.,TIINDIA,NIFTY AUTO,Auto Ancillary,INE974X01010
44,UNO Minda Ltd.,UNOMINDA,NIFTY AUTO,Auto Ancillary,INE405E01023
45,Amara Raja Energy & Mobility Ltd.,ARE&M,NIFTY AUTO,Batteries,INE885A01032
45,Apollo Tyres Ltd.,APOLLOTYRE,NIFTY AUTO,Tyres & Allied,INE438A01022
46,Asahi India Glass Ltd.,ASAHIINDIA,NIFTY AUTO,Glass,INE439A01020
46,Ather Energy Ltd.,ATHERENERG,NIFTY AUTO,Automobile Two & Three Wheelers,INE0LEZ01016
47,Balkrishna Industries Ltd.,BALKRISIND,NIFTY AUTO,Tyres & Allied,INE787D01026
47,Belrise Industries Ltd.,BELRISE,NIFTY AUTO,Auto Ancillary,INE894V01022
48,Bharat Forge Ltd.,BHARATFORG,NIFTY AUTO,Forgings,INE465A01025
48,Ceat Ltd.,CEATLTD,NIFTY AUTO,Tyres & Allied,INE482A01020
49,Craftsman Automation Ltd.,CRAFTSMAN,NIFTY AUTO,Auto Ancillary,INE00LO01017
49,Endurance Technologies Ltd.,ENDURANCE,NIFTY AUTO,Auto Ancillary,INE913H01037
50,Exide Industries Ltd.,EXIDEIND,NIFTY AUTO,Batteries,INE302A01020
50,Force Motors Ltd.,FORCEMOT,NIFTY AUTO,Automobiles-Trucks/Lcv,INE451A01017
51,Gabriel India Ltd.,GABRIEL,NIFTY AUTO,Auto Ancillary,INE524A01029
51,Hero MotoCorp Ltd.,HEROMOTOCO,NIFTY AUTO,Automobile Two & Three Wheelers,INE158A01026
52,JBM Auto Ltd.,JBMA,NIFTY AUTO,Auto Ancillary,INE927D01051
52,JK Tyre & Industries Ltd.,JKTYRE,NIFTY AUTO,Tyres & Allied,INE573A01042
53,MRF Ltd.,MRF,NIFTY AUTO,Tyres & Allied,INE883A01011
53,Minda Corporation Ltd.,MINDACORP,NIFTY AUTO,Auto Ancillary,INE842C01021
54,Motherson Sumi Wiring India Ltd.,MSUMI,NIFTY AUTO,Steel & Iron Products,INE0FS801015
54,Ola Electric Mobility Ltd.,OLAELEC,NIFTY AUTO,Automobile Two & Three Wheelers,INE0LXG01040
55,Olectra Greentech Ltd.,OLECTRA,NIFTY AUTO,Automobiles-Trucks/Lcv,INE260D01016
55,Ramkrishna Forgings Ltd.,RKFORGE,NIFTY AUTO,Forgings,INE399G01023
56,Schaeffler India Ltd.,SCHAEFFLER,NIFTY AUTO,Bearings,INE513A01022
56,Sona BLW Precision Forgings Ltd.,SONACOMS,NIFTY AUTO,Auto Ancillary,INE073K01018
57,Tenneco Clean Air India Ltd.,TENNIND,NIFTY AUTO,Auto Ancillary,INE19RI01016
57,Tube Investments of India Ltd.,TIINDIA,NIFTY AUTO,Auto Ancillary,INE974X01010
58,UNO Minda Ltd.,UNOMINDA,NIFTY AUTO,Auto Ancillary,INE405E01023
58,ZF Commercial Vehicle Control Systems India Ltd.,ZFCVINDIA,NIFTY AUTO,Auto Ancillary,INE342J01019
59,ASK Automotive Ltd.,ASKAUTOLTD,NIFTY AUTO,Auto Ancillary,INE491J01022
59,Amara Raja Energy & Mobility Ltd.,ARE&M,NIFTY AUTO,Batteries,INE885A01032
60,Apollo Tyres Ltd.,APOLLOTYRE,NIFTY AUTO,Tyres & Allied,INE438A01022
60,Asahi India Glass Ltd.,ASAHIINDIA,NIFTY AUTO,Glass,INE439A01020
61,Ather Energy Ltd.,ATHERENERG,NIFTY AUTO,Automobile Two & Three Wheelers,INE0LEZ01016
61,Bajaj Auto Ltd.,BAJAJ-AUTO,NIFTY AUTO,Automobile Two & Three Wheelers,INE917I01010
62,Balkrishna Industries Ltd.,BALKRISIND,NIFTY AUTO,Tyres & Allied,INE787D01026
62,Banco Products (India) Ltd.,BANCOINDIA,NIFTY AUTO,Auto Ancillary,INE213C01025
63,Belrise Industries Ltd.,BELRISE,NIFTY AUTO,Auto Ancillary,INE894V01022
63,Bharat Forge Ltd.,BHARATFORG,NIFTY AUTO,Forgings,INE465A01025
64,Bosch Ltd.,BOSCHLTD,NIFTY AUTO,Auto Ancillary,INE323A01026
64,CIE Automotive India Ltd.,CIEINDIA,NIFTY AUTO,Auto Ancillary,INE536H01010
65,Ceat Ltd.,CEATLTD,NIFTY AUTO,Tyres & Allied,INE482A01020
65,Craftsman Automation Ltd.,CRAFTSMAN,NIFTY AUTO,Auto Ancillary,INE00LO01017
66,Eicher Motors Ltd.,EICHERMOT,NIFTY AUTO,Automobile Two & Three Wheelers,INE066A01021
66,Endurance Technologies Ltd.,ENDURANCE,NIFTY AUTO,Auto Ancillary,INE913H01037
67,Exide Industries Ltd.,EXIDEIND,NIFTY AUTO,Batteries,INE302A01020
67,Fiem Industries Ltd,FIEMIND,NIFTY AUTO,Auto Ancillary,INE737H01014
68,Force Motors Ltd.,FORCEMOT,NIFTY AUTO,Automobiles-Trucks/Lcv,INE451A01017
68,Gabriel India Ltd.,GABRIEL,NIFTY AUTO,Auto Ancillary,INE524A01029
69,Hero MotoCorp Ltd.,HEROMOTOCO,NIFTY AUTO,Automobile Two & Three Wheelers,INE158A01026
69,Hyundai Motor India Ltd.,HYUNDAI,NIFTY AUTO,Automobiles - Passenger Cars,INE0V6F01027
70,JBM Auto Ltd.,JBMA,NIFTY AUTO,Auto Ancillary,INE927D01051
70,JK Tyre & Industries Ltd.,JKTYRE,NIFTY AUTO,Tyres & Allied,INE573A01042
71,Jamna Auto Industries Ltd.,JAMNAAUTO,NIFTY AUTO,Auto Ancillary,INE039C01032
71,Lumax Auto Technologies Ltd.,LUMAXTECH,NIFTY AUTO,Auto Ancillary,INE872H01027
72,MRF Ltd.,MRF,NIFTY AUTO,Tyres & Allied,INE883A01011
72,Mahindra & Mahindra Ltd.,M&M,NIFTY AUTO,Automobiles - Passenger Cars,INE101A01026
73,Maruti Suzuki India Ltd.,MARUTI,NIFTY AUTO,Automobiles - Passenger Cars,INE585B01010
73,Minda Corporation Ltd.,MINDACORP,NIFTY AUTO,Auto Ancillary,INE842C01021
74,Motherson Sumi Wiring India Ltd.,MSUMI,NIFTY AUTO,Steel & Iron Products,INE0FS801015
74,Ola Electric Mobility Ltd.,OLAELEC,NIFTY AUTO,Automobile Two & Three Wheelers,INE0LXG01040
75,Olectra Greentech Ltd.,OLECTRA,NIFTY AUTO,Automobiles-Trucks/Lcv,INE260D01016
75,Pricol Ltd.,PRICOLLTD,NIFTY AUTO,Auto Ancillary,INE726V01018
76,Ramkrishna Forgings Ltd.,RKFORGE,NIFTY AUTO,Forgings,INE399G01023
76,SKF India Ltd.,SKFINDIA,NIFTY AUTO,Bearings,INE640A01023
77,Samvardhana Motherson International Ltd.,MOTHERSON,NIFTY AUTO,Auto Ancillary,INE775A01035
77,Sansera Engineering Ltd.,SANSERA,NIFTY AUTO,Auto Ancillary,INE953O01021
78,Schaeffler India Ltd.,SCHAEFFLER,NIFTY AUTO,Bearings,INE513A01022
78,Shriram Pistons & Rings Ltd.,SHRIPISTON,NIFTY AUTO,Engineering - Industrial Equipments,INE526E01018
79,Sona BLW Precision Forgings Ltd.,SONACOMS,NIFTY AUTO,Auto Ancillary,INE073K01018
79,TVS Motor Company Ltd.,TVSMOTOR,NIFTY AUTO,Automobile Two & Three Wheelers,INE494B01023
80,Tata Motors Passenger Vehicles Ltd.,TMPV,NIFTY AUTO,Automobile Two & Three Wheelers,INE155A01022
80,Tenneco Clean Air India Ltd.,TENNIND,NIFTY AUTO,Auto Ancillary,INE19RI01016
81,Tube Investments of India Ltd.,TIINDIA,NIFTY AUTO,Auto Ancillary,INE974X01010
81,UNO Minda Ltd.,UNOMINDA,NIFTY AUTO,Auto Ancillary,INE405E01023
82,Varroc Engineering Ltd.,VARROC,NIFTY AUTO,Auto Ancillary,INE665L01035
82,ZF Commercial Vehicle Control Systems India Ltd.,ZFCVINDIA,NIFTY AUTO,Auto Ancillary,INE342J01019
83,Amara Raja Energy & Mobility Ltd.,ARE&M,NIFTY AUTO,Batteries,INE885A01032
83,Apollo Tyres Ltd.,APOLLOTYRE,NIFTY AUTO,Tyres & Allied,INE438A01022
84,Asahi India Glass Ltd.,ASAHIINDIA,NIFTY AUTO,Glass,INE439A01020
84,Ather Energy Ltd.,ATHERENERG,NIFTY AUTO,Automobile Two & Three Wheelers,INE0LEZ01016
85,Bajaj Auto Ltd.,BAJAJ-AUTO,NIFTY AUTO,Automobile Two & Three Wheelers,INE917I01010
85,Balkrishna Industries Ltd.,BALKRISIND,NIFTY AUTO,Tyres & Allied,INE787D01026
86,Belrise Industries Ltd.,BELRISE,NIFTY AUTO,Auto Ancillary,INE894V01022
86,Bharat Forge Ltd.,BHARATFORG,NIFTY AUTO,Forgings,INE465A01025
87,Bosch Ltd.,BOSCHLTD,NIFTY AUTO,Auto Ancillary,INE323A01026
87,Ceat Ltd.,CEATLTD,NIFTY AUTO,Tyres & Allied,INE482A01020
88,Craftsman Automation Ltd.,CRAFTSMAN,NIFTY AUTO,Auto Ancillary,INE00LO01017
88,Eicher Motors Ltd.,EICHERMOT,NIFTY AUTO,Automobile Two & Three Wheelers,INE066A01021
89,Endurance Technologies Ltd.,ENDURANCE,NIFTY AUTO,Auto Ancillary,INE913H01037
89,Exide Industries Ltd.,EXIDEIND,NIFTY AUTO,Batteries,INE302A01020
90,Force Motors Ltd.,FORCEMOT,NIFTY AUTO,Automobiles-Trucks/Lcv,INE451A01017
90,Gabriel India Ltd.,GABRIEL,NIFTY AUTO,Auto Ancillary,INE524A01029
91,Hero MotoCorp Ltd.,HEROMOTOCO,NIFTY AUTO,Automobile Two & Three Wheelers,INE158A01026
91,Hyundai Motor India Ltd.,HYUNDAI,NIFTY AUTO,Automobiles - Passenger Cars,INE0V6F01027
92,JBM Auto Ltd.,JBMA,NIFTY AUTO,Auto Ancillary,INE927D01051
92,JK Tyre & Industries Ltd.,JKTYRE,NIFTY AUTO,Tyres & Allied,INE573A01042
93,MRF Ltd.,MRF,NIFTY AUTO,Tyres & Allied,INE883A01011
93,Mahindra & Mahindra Ltd.,M&M,NIFTY AUTO,Automobiles - Passenger Cars,INE101A01026
94,Maruti Suzuki India Ltd.,MARUTI,NIFTY AUTO,Automobiles - Passenger Cars,INE585B01010
94,Minda Corporation Ltd.,MINDACORP,NIFTY AUTO,Auto Ancillary,INE842C01021
95,Motherson Sumi Wiring India Ltd.,MSUMI,NIFTY AUTO,Steel & Iron Products,INE0FS801015
95,Ola Electric Mobility Ltd.,OLAELEC,NIFTY AUTO,Automobile Two & Three Wheelers,INE0LXG01040
96,Olectra Greentech Ltd.,OLECTRA,NIFTY AUTO,Automobiles-Trucks/Lcv,INE260D01016
96,Ramkrishna Forgings Ltd.,RKFORGE,NIFTY AUTO,Forgings,INE399G01023
97,Samvardhana Motherson International Ltd.,MOTHERSON,NIFTY AUTO,Auto Ancillary,INE775A01035
97,Schaeffler India Ltd.,SCHAEFFLER,NIFTY AUTO,Bearings,INE513A01022
98,Sona BLW Precision Forgings Ltd.,SONACOMS,NIFTY AUTO,Auto Ancillary,INE073K01018
98,TVS Motor Company Ltd.,TVSMOTOR,NIFTY AUTO,Automobile Two & Three Wheelers,INE494B01023
99,Tata Motors Passenger Vehicles Ltd.,TMPV,NIFTY AUTO,Automobile Two & Three Wheelers,INE155A01022
99,Tenneco Clean Air India Ltd.,TENNIND,NIFTY AUTO,Auto Ancillary,INE19RI01016
100,Tube Investments of India Ltd.,TIINDIA,NIFTY AUTO,Auto Ancillary,INE974X01010
100,UNO Minda Ltd.,UNOMINDA,NIFTY AUTO,Auto Ancillary,INE405E01023
101,ZF Commercial Vehicle Control Systems India Ltd.,ZFCVINDIA,NIFTY AUTO,Auto Ancillary,INE342J01019
101,Apollo Tyres Ltd.,APOLLOTYRE,NIFTY AUTO,Tyres & Allied,INE438A01022
102,Bajaj Auto Ltd.,BAJAJ-AUTO,NIFTY AUTO,Automobile Two & Three Wheelers,INE917I01010
102,Balkrishna Industries Ltd.,BALKRISIND,NIFTY AUTO,Tyres & Allied,INE787D01026
103,Bharat Forge Ltd.,BHARATFORG,NIFTY AUTO,Forgings,INE465A01025
103,Bosch Ltd.,BOSCHLTD,NIFTY AUTO,Auto Ancillary,INE323A01026
104,Eicher Motors Ltd.,EICHERMOT,NIFTY AUTO,Automobile Two & Three Wheelers,INE066A01021
104,Endurance Technologies Ltd.,ENDURANCE,NIFTY AUTO,Auto Ancillary,INE913H01037
105,Exide Industries Ltd.,EXIDEIND,NIFTY AUTO,Batteries,INE302A01020
105,Hero MotoCorp Ltd.,HEROMOTOCO,NIFTY AUTO,Automobile Two & Three Wheelers,INE158A01026
106,Hyundai Motor India Ltd.,HYUNDAI,NIFTY AUTO,Automobiles - Passenger Cars,INE0V6F01027
106,MRF Ltd.,MRF,NIFTY AUTO,Tyres & Allied,INE883A01011
107,Mahindra & Mahindra Ltd.,M&M,NIFTY AUTO,Automobiles - Passenger Cars,INE101A01026
107,Maruti Suzuki India Ltd.,MARUTI,NIFTY AUTO,Automobiles - Passenger Cars,INE585B01010
108,Samvardhana Motherson International Ltd.,MOTHERSON,NIFTY AUTO,Auto Ancillary,INE775A01035
108,Schaeffler India Ltd.,SCHAEFFLER,NIFTY AUTO,Bearings,INE513A01022
109,TVS Motor Company Ltd.,TVSMOTOR,NIFTY AUTO,Automobile Two & Three Wheelers,INE494B01023
109,Tata Motors Passenger Vehicles Ltd.,TMPV,NIFTY AUTO,Automobile Two & Three Wheelers,INE155A01022
110,Tube Investments of India Ltd.,TIINDIA,NIFTY AUTO,Auto Ancillary,INE974X01010
110,UNO Minda Ltd.,UNOMINDA,NIFTY AUTO,Auto Ancillary,INE405E01023
111,Amara Raja Energy & Mobility Ltd.,ARE&M,NIFTY AUTO,Batteries,INE885A01032
111,Sona BLW Precision Forgings Ltd.,SONACOMS,NIFTY AUTO,Auto Ancillary,INE073K01018
112,Amara Raja Energy & Mobility Ltd.,ARE&M,NIFTY AUTO,Batteries,INE885A01032
112,Ather Energy Ltd.,ATHERENERG,NIFTY AUTO,Automobile Two & Three Wheelers,INE0LEZ01016
113,Force Motors Ltd.,FORCEMOT,NIFTY AUTO,Automobiles-Trucks/Lcv,INE451A01017
113,JBM Auto Ltd.,JBMA,NIFTY AUTO,Auto Ancillary,INE927D01051
114,Ola Electric Mobility Ltd.,OLAELEC,NIFTY AUTO,Automobile Two & Three Wheelers,INE0LXG01040
114,Sona BLW Precision Forgings Ltd.,SONACOMS,NIFTY AUTO,Auto Ancillary,INE073K01018
115,Tenneco Clean Air India Ltd.,TENNIND,NIFTY AUTO,Auto Ancillary,INE19RI01016
115,Amara Raja Energy & Mobility Ltd.,ARE&M,NIFTY AUTO,Batteries,INE885A01032
116,Asahi India Glass Ltd.,ASAHIINDIA,NIFTY AUTO,Glass,INE439A01020
116,Ather Energy Ltd.,ATHERENERG,NIFTY AUTO,Automobile Two & Three Wheelers,INE0LEZ01016
117,Belrise Industries Ltd.,BELRISE,NIFTY AUTO,Auto Ancillary,INE894V01022
117,Ceat Ltd.,CEATLTD,NIFTY AUTO,Tyres & Allied,INE482A01020
118,Craftsman Automation Ltd.,CRAFTSMAN,NIFTY AUTO,Auto Ancillary,INE00LO01017
118,Force Motors Ltd.,FORCEMOT,NIFTY AUTO,Automobiles-Trucks/Lcv,INE451A01017
119,Gabriel India Ltd.,GABRIEL,NIFTY AUTO,Auto Ancillary,INE524A01029
119,JBM Auto Ltd.,JBMA,NIFTY AUTO,Auto Ancillary,INE927D01051
120,JK Tyre & Industries Ltd.,JKTYRE,NIFTY AUTO,Tyres & Allied,INE573A01042
120,Minda Corporation Ltd.,MINDACORP,NIFTY AUTO,Auto Ancillary,INE842C01021
121,Motherson Sumi Wiring India Ltd.,MSUMI,NIFTY AUTO,Steel & Iron Products,INE0FS801015
121,Ola Electric Mobility Ltd.,OLAELEC,NIFTY AUTO,Automobile Two & Three Wheelers,INE0LXG01040
122,Olectra Greentech Ltd.,OLECTRA,NIFTY AUTO,Automobiles-Trucks/Lcv,INE260D01016
122,Ramkrishna Forgings Ltd.,RKFORGE,NIFTY AUTO,Forgings,INE399G01023
123,Sona BLW Precision Forgings Ltd.,SONACOMS,NIFTY AUTO,Auto Ancillary,INE073K01018
123,Tenneco Clean Air India Ltd.,TENNIND,NIFTY AUTO,Auto Ancillary,INE19RI01016
124,ZF Commercial Vehicle Control Systems India Ltd.,ZFCVINDIA,NIFTY AUTO,Auto Ancillary,INE342J01019
124,ASK Automotive Ltd.,ASKAUTOLTD,NIFTY AUTO,Auto Ancillary,INE491J01022
125,Amara Raja Energy & Mobility Ltd.,ARE&M,NIFTY AUTO,Batteries,INE885A01032
125,Asahi India Glass Ltd.,ASAHIINDIA,NIFTY AUTO,Glass,INE439A01020
126,Ather Energy Ltd.,ATHERENERG,NIFTY AUTO,Automobile Two & Three Wheelers,INE0LEZ01016
126,Banco Products (India) Ltd.,BANCOINDIA,NIFTY AUTO,Auto Ancillary,INE213C01025
127,Belrise Industries Ltd.,BELRISE,NIFTY AUTO,Auto Ancillary,INE894V01022
127,CIE Automotive India Ltd.,CIEINDIA,NIFTY AUTO,Auto Ancillary,INE536H01010
128,Ceat Ltd.,CEATLTD,NIFTY AUTO,Tyres & Allied,INE482A01020
128,Craftsman Automation Ltd.,CRAFTSMAN,NIFTY AUTO,Auto Ancillary,INE00LO01017
129,Fiem Industries Ltd,FIEMIND,NIFTY AUTO,Auto Ancillary,INE737H01014
129,Force Motors Ltd.,FORCEMOT,NIFTY AUTO,Automobiles-Trucks/Lcv,INE451A01017
130,Gabriel India Ltd.,GABRIEL,NIFTY AUTO,Auto Ancillary,INE524A01029
130,JBM Auto Ltd.,JBMA,NIFTY AUTO,Auto Ancillary,INE927D01051
131,JK Tyre & Industries Ltd.,JKTYRE,NIFTY AUTO,Tyres & Allied,INE573A01042
131,Jamna Auto Industries Ltd.,JAMNAAUTO,NIFTY AUTO,Auto Ancillary,INE039C01032
132,Lumax Auto Technologies Ltd.,LUMAXTECH,NIFTY AUTO,Auto Ancillary,INE872H01027
132,Minda Corporation Ltd.,MINDACORP,NIFTY AUTO,Auto Ancillary,INE842C01021
133,Motherson Sumi Wiring India Ltd.,MSUMI,NIFTY AUTO,Steel & Iron Products,INE0FS801015
133,Ola Electric Mobility Ltd.,OLAELEC,NIFTY AUTO,Automobile Two & Three Wheelers,INE0LXG01040
134,Olectra Greentech Ltd.,OLECTRA,NIFTY AUTO,Automobiles-Trucks/Lcv,INE260D01016
134,Pricol Ltd.,PRICOLLTD,NIFTY AUTO,Auto Ancillary,INE726V01018
135,Ramkrishna Forgings Ltd.,RKFORGE,NIFTY AUTO,Forgings,INE399G01023
135,SKF India Ltd.,SKFINDIA,NIFTY AUTO,Bearings,INE640A01023
136,Sansera Engineering Ltd.,SANSERA,NIFTY AUTO,Auto Ancillary,INE953O01021
